DexN°=001; MOLLUCOTTA; BaseStats=55,40,70,35,55,55; Types=GRASS
DexN°=079; VAPOREON; BaseStats=130,65,60,65,110,95; Types=WATER
DexN°=080; JOLTEON; BaseStats=65,65,60,130,110,95; Types=ELECTRIC
DexN°=081; FLAREON; BaseStats=65,130,60,65,95,110; Types=FIRE
DexN°=082; ESPEON; BaseStats=65,65,60,110,130,95; Types=PSYCHIC
DexN°=083; UMBREON; BaseStats=95,65,110,65,60,130; Types=DARK
DexN°=084; LEAFEON; BaseStats=65,110,130,95,60,65; Types=GRASS
DexN°=085; GLACEON; BaseStats=65,60,110,65,130,95; Types=ICE
DexN°=086; SYLVEON; BaseStats=95,65,65,60,110,130; Types=FAIRY
DexN°=087; TERREON; BaseStats=130,110,65,60,95,65; Types=GROUND
DexN°=088; GUSTEON; BaseStats=65,95,60,130,65,110; Types=FLYING
DexN°=089; ATELANGLER; BaseStats=85,80,80,101,65,75; Types=NORMAL
DexN°=090; BEAKPEEP; BaseStats=50,60,80,65,30,35; Types=STEEL,FLYING
DexN°=091; BEAKRAFT; BaseStats=75,95,120,78,50,60; Types=STEEL,FLYING
DexN°=092; GOHILA; BaseStats=97,56,69,99,90,69; Types=POISON
DexN°=093; TROPIUS; BaseStats=99,68,83,72,87,51; Types=GRASS,FLYING
DexN°=094; TITANOTROP; BaseStats=183,103,103,31,88,72; Types=GRASS,DRAGON
DexN°=095; ARIAMANO; BaseStats=61,75,77,101,58,58; Types=BUG,DRAGON
DexN°=096; M_MEOWTH; BaseStats=40,60,40,71,44,35; Types=FIGHTING
DexN°=097; M_PERSIAN; BaseStats=60,95,50,111,64,60; Types=FIGHTING
DexN°=098; BANAGNAW; BaseStats=30,45,70,75,35,50; Types=GRASS,WATER
DexN°=099; NANAHI; BaseStats=70,92,95,113,74,51; Types=GRASS,WATER
DexN°=100; POTASSOPOD; BaseStats=100,76,69,63,92,95; Types=GRASS,POISON
DexN°=101; BURBRAWL; BaseStats=40,70,25,70,45,30; Types=FIGHTING,FLYING
DexN°=102; HUMBEAT; BaseStats=77,101,105,32,37,88; Types=FIGHTING,FLYING
DexN°=103; HUMMIPUMMEL; BaseStats=77,123,61,99,113,72; Types=FIGHTING,FAIRY
DexN°=104; CROACROZEN; BaseStats=94,83,71,98,90,62; Types=POISON
DexN°=105; KECLEON; BaseStats=60,80,70,40,65,125; Types=NORMAL
DexN°=106; SUCHIP; BaseStats=75,70,60,50,40,55; Types=DRAGON
DexN°=107; SUCHOBILE; BaseStats=110,104,72,53,91,70; Types=DRAGON,POISON
DexN°=108; CHISPEKA; BaseStats=71,75,80,89,75,70; Types=ELECTRIC,FIGHTING
DexN°=109; HAWLUCHA; BaseStats=78,92,75,118,74,63; Types=FIGHTING,FLYING
DexN°=110; DUNSPARCE; BaseStats=100,70,70,45,65,65; Types=NORMAL
DexN°=111; DUNSENDED; BaseStats=130,90,90,55,90,80; Types=NORMAL,FLYING
DexN°=112; M_MUDBRAY; BaseStats=75,70,65,25,70,80; Types=FAIRY
DexN°=113; MUDSMACHE; BaseStats=75,85,80,35,95,130; Types=FAIRY
DexN°=114; M_NOSEPASS; BaseStats=40,80,115,30,55,55; Types=ROCK,FIGHTING
DexN°=115; NOSEPONCH; BaseStats=75,130,125,60,65,70; Types=ROCK,FIGHTING
DexN°=116; BOWLLO; BaseStats=50,65,80,40,30,45; Types=STEEL,ROCK
DexN°=117; DUPEDILLO; BaseStats=100,85,140,55,50,50; Types=STEEL
DexN°=118; HELIOPTILE; BaseStats=40,41,36,69,61,42; Types=ELECTRIC,NORMAL
DexN°=119; HELIOLISK; BaseStats=61,63,62,101,101,92; Types=ELECTRIC,NORMAL
DexN°=120; M_CRABRAWLER; BaseStats=57,57,82,73,32,37; Types=GROUND
DexN°=121; CRUSTANG; BaseStats=90,93,132,86,44,43; Types=GROUND,STEEL
DexN°=122; CACNEA; BaseStats=50,85,40,35,85,40; Types=GRASS
DexN°=123; CACTURNE; BaseStats=70,115,60,55,115,60; Types=GRASS,DARK
DexN°=124; FRIZZARD; BaseStats=80,65,70,89,105,91; Types=DRAGON,ICE
DexN°=125; ZARCOIL; BaseStats=65,110,69,71,115,70; Types=DRAGON,FIRE
DexN°=126; DRILBUR; BaseStats=55,74,41,58,35,40; Types=GROUND
DexN°=127; EXCADRILL; BaseStats=96,124,55,88,60,60; Types=GROUND,STEEL
DexN°=128; GOLETT; BaseStats=59,74,50,35,35,50; Types=GROUND,GHOST
DexN°=129; GOLURK; BaseStats=89,124,80,55,55,80; Types=GROUND,GHOST
DexN°=130; M_MARACTUS; BaseStats=70,62,63,93,98,75; Types=FIRE,GRASS
DexN°=131; TRAPINCH; BaseStats=45,100,45,10,45,45; Types=GROUND
DexN°=132; VIBRAVA; BaseStats=60,70,50,70,50,50; Types=GROUND,DRAGON
DexN°=133; FLYGON; BaseStats=100,100,80,100,80,80; Types=GROUND,DRAGON
DexN°=134; PHYTIDE; BaseStats=20,50,14,68,69,40; Types=POISON,WATER
DexN°=135; VENORAYGE; BaseStats=99,82,63,100,111,86; Types=POISON,WATER
DexN°=136; GULPI; BaseStats=60,50,35,38,30,62; Types=GHOST,ELECTRIC
DexN°=137; MALHARO; BaseStats=105,100,67,83,80,65; Types=GHOST,ELECTRIC
DexN°=138; MAGIKARP; BaseStats=20,10,55,80,15,20; Types=WATER
DexN°=139; GYARADOS; BaseStats=95,125,79,81,60,100; Types=WATER,FLYING
DexN°=140; FEEBAS; BaseStats=20,15,20,80,10,55; Types=WATER
DexN°=141; MILOTIC; BaseStats=95,60,79,81,100,125; Types=WATER
DexN°=142; JAWSTER; BaseStats=82,93,90,56,58,76; Types=FLYING,GROUND
DexN°=143; SNORUNT; BaseStats=50,50,50,50,50,50; Types=ICE
DexN°=144; GLALIE; BaseStats=80,80,80,80,80,80; Types=ICE
DexN°=145; FROSLASS; BaseStats=70,80,70,110,80,70; Types=ICE,GHOST
DexN°=146; COSMET; BaseStats=30,20,50,45,40,65; Types=ICE,STEEL
DexN°=147; GLACIUTTLE; BaseStats=58,66,71,74,72,79; Types=ICE,STEEL
DexN°=148; CRYOGER; BaseStats=63,74,78,104,102,109; Types=ICE,STEEL
DexN°=149; SNOM; BaseStats=30,25,35,20,45,30; Types=ICE,BUG
DexN°=150; FROSMOTH; BaseStats=70,65,60,65,125,90; Types=ICE,BUG
DexN°=151; M_VANILLITE; BaseStats=46,40,50,44,65,60; Types=ICE,PSYCHIC
DexN°=152; M_VANILLISH; BaseStats=60,50,65,49,96,75; Types=ICE,PSYCHIC
DexN°=153; M_VANILLUXE; BaseStats=80,55,95,69,129,107; Types=ICE,PSYCHIC
DexN°=154; CASTFORM; BaseStats=80,80,80,80,80,80; Types=NORMAL
DexN°=155; NATU; BaseStats=40,50,45,70,70,45; Types=PSYCHIC,FLYING
DexN°=156; XATU; BaseStats=75,75,70,95,95,70; Types=PSYCHIC,FLYING
DexN°=157; ROTATONA; BaseStats=73,103,122,69,43,40; Types=FAIRY,GROUND
DexN°=158; LUMIPOP; BaseStats=52,31,45,72,66,64; Types=PSYCHIC,POISON
DexN°=159; LUMILIKO; BaseStats=70,70,70,92,104,114; Types=PSYCHIC,POISON
DexN°=160; BALTOY; BaseStats=40,40,55,55,40,70; Types=GROUND,PSYCHIC
DexN°=161; CLAYDOL; BaseStats=60,70,105,75,70,120; Types=GROUND,PSYCHIC
DexN°=162; ELEGOOP; BaseStats=60,60,75,50,60,50; Types=ROCK,POISON
DexN°=163; TARTUSK; BaseStats=95,105,120,65,75,65; Types=ROCK,POISON
DexN°=164; CHARCOPAL; BaseStats=40,47,50,74,85,59; Types=ROCK,FAIRY
DexN°=165; GEOCOPRION; BaseStats=65,86,69,96,109,100; Types=ROCK,FAIRY
DexN°=166; CHIXULOB; BaseStats=75,123,51,129,96,51; Types=ROCK,FIRE
DexN°=167; SABLEYE; BaseStats=75,75,75,50,65,65; Types=DARK,GHOST
DexN°=168; MAWILE; BaseStats=50,85,85,50,55,55; Types=STEEL,FAIRY
DexN°=169; SLUGMA; BaseStats=40,40,40,20,70,40; Types=FIRE
DexN°=170; MAGCARGO; BaseStats=60,50,120,30,90,80; Types=FIRE,ROCK
DexN°=171; KNOGGIN; BaseStats=40,75,70,38,35,22; Types=ROCK
DexN°=172; KHATCHET; BaseStats=65,90,105,58,70,42; Types=ROCK
DexN°=173; MAKWAHURT; BaseStats=86,112,123,76,88,50; Types=ROCK,DARK
DexN°=174; MACRABRA; BaseStats=50,85,85,34,85,106; Types=GHOST,BUG
DexN°=175; XIBALBAT; BaseStats=50,115,110,64,50,56; Types=STEEL,DARK
DexN°=176; CARBINK; BaseStats=50,50,150,50,50,150; Types=ROCK,FAIRY
DexN°=177; WRRAZAL; BaseStats=70,60,45,65,50,40; Types=GHOST,ROCK
DexN°=178; SPECTERZAL; BaseStats=120,125,66,86,85,65; Types=GHOST,ROCK
DexN°=179; SKARMORY; BaseStats=65,80,140,70,40,70; Types=STEEL,FLYING
DexN°=180; XOLSMOL; BaseStats=60,45,39,24,65,62; Types=WATER
DexN°=181; AMPHIBARK; BaseStats=75,67,60,46,94,83; Types=WATER,FIRE
DexN°=182; PEROXOTAL; BaseStats=107,96,90,64,120,123; Types=WATER,FIRE
DexN°=183; REGIWOOD; BaseStats=50,150,75,80,150,75; Types=GRASS
DexN°=184; REGIBRUTE; BaseStats=100,200,100,80,50,50; Types=FIGHTING
DexN°=185; REGITERNAL; BaseStats=50,100,50,80,200,100; Types=FAIRY
DexN°=186; MELUMUSE; BaseStats=90,60,85,105,120,120; Types=WATER,GRASS
DexN°=187; MELUMOURN; BaseStats=70,70,120,120,125,75; Types=WATER,DARK
DexN°=188; MELUMAUNDER; BaseStats=120,70,75,100,120,95; Types=WATER,PSYCHIC
DexN°=189; MELUMYST; BaseStats=110,85,125,55,90,115; Types=WATER,ICE
DexN°=190; MARIPOME; BaseStats=100,130,80,150,140,80; Types=BUG,FIGHTING
DexN°=191; HYLARMOS; BaseStats=100,150,140,80,130,80; Types=ICE,POISON
DexN°=192; ELORIMANDA; BaseStats=110,85,140,85,110,150; Types=DRAGON,PSYCHIC
DexN°=193; DRAGTACO; BaseStats=124,153,112,10,7,94; Types=DRAGON,QMARKS
DexN°=194; BOINKLEBEE; BaseStats=100,100,100,100,100,100; Types=FAIRY,FLYING
DexN°=195; M_DITTO; BaseStats=48,48,48,48,48,48; Types=DARK
DexN°=196; M_KRABBY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=197; VLADIKRAB; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=198; VULPIX; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=199; NINETALES; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=200; SUNKERN; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=201; SUNFLORA; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=202; HOOTHOOT; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=203; NOCTOWL; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=204; DUSKULL; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=205; DUSCLOPS; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=206; DUSKNOIR; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=207; SPOINK; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=208; GRUMPIG; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=209; WOOBAT; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=210; SWOOBAT; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=211; SKITTY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=212; DELCATTY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=213; EKANS; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=214; ARBOK; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=215; FINNEON; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=216; LUMINEON; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=217; BUNNELBY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=218; DIGGERSBY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=219; PURRLOIN; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=220; LIEPARD; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=221; PUMPKABOO; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=222; GOURGEIST; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=223; BARBOACH; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=224; WHISCASH; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=225; LICKITUNG; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=226; LICKILICKY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=227; PINCURCHIN; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=228; CLOBBOPUS; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=229; GRAPPLOCT; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=230; STARYU; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=231; STARMIE; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=232; MAREEP; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=233; FLAAFFY; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=234; AMPHAROS; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=235; LILLIPUP; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=236; HERDIER; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=237; STOUTLAND; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=238; WIMPOD; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=239; GOLISOPOD; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=240; MAGNEMITE; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=241; MAGNETON; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=242; MAGNEZONE; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=243; SALANDIT; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=244; SALAZZLE; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=245; NUMEL; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=246; CAMERUPT; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=247; TURTONATOR; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=248; SIGILYPH; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=249; TIMBURR; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=250; GURDURR; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=251; CONKELDURR; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=252; SNOVER; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=253; ABOMASNOW; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=254; ELEKID; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=255; ELECTABUZZ; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=256; ELECTIVIRE; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=257; ROGGENROLA; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=258; BOLDORE; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=259; GIGALITH; BaseStats=2,1,1,1,1,1; Types=QMARKS
DexN°=017; NOCTAVISPA (Form 1); BaseStats=65,143,61,100,93,69; Types=BUG,DARK
DexN°=092; GOHILA (Form 1); BaseStats=97,73,71,101,135,103; Types=POISON,ELECTRIC
DexN°=089; ATELANGLER (Form 1); BaseStats=85,123,106,109,75,84; Types=NORMAL
DexN°=166; CHIXULOB (Form 1); BaseStats=75,156,96,148,89,71; Types=ROCK,FIRE
DexN°=156; XATU (Form 1); BaseStats=75,89,71,96,123,126; Types=PSYCHIC,FIRE
DexN°=133; FLYGON (Form 1); BaseStats=100,130,80,120,130,80; Types=DRAGON,GROUND,BUG
DexN°=141; MILOTIC (Form 1); BaseStats=95,85,96,82,126,156; Types=WATER,FAIRY
DexN°=107; SUCHOBILE (Form 1); BaseStats=110,137,114,41,106,92; Types=DRAGON,POISON
DexN°=179; SKARMORY (Form 1); BaseStats=65,120,160,80,60,80; Types=STEEL,FLYING
DexN°=067; BEHEEYEM (Form 1); BaseStats=75,105,75,70,135,125; Types=PSYCHIC,ELECTRIC
DexN°=129; GOLURK (Form 1); BaseStats=89,144,105,100,65,80; Types=GROUND,GHOST,FLYING
DexN°=109; HAWLUCHA (Form 1); BaseStats=78,132,95,118,94,83; Types=FIGHTING,FLYING
DexN°=123; CACTURNE (Form 1); BaseStats=70,135,100,55,145,70; Types=GRASS,DARK
DexN°=150; FROSMOTH (Form 1); BaseStats=70,65,80,85,135,140; Types=ICE,BUG,FIRE
DexN°=052; CHIMECHO (Form 1); BaseStats=75,50,100,65,115,150; Types=PSYCHIC,STEEL
DexN°=064; PORYGONZ (Form 1); BaseStats=85,128,80,102,155,85; Types=NORMAL,QMARKS
DexN°=170; MAGCARGO (Form 1); BaseStats=60,60,160,50,100,100; Types=FIRE,STEEL
DexN°=178; SPECTERZAL (Form 1); BaseStats=120,139,132,86,95,75; Types=GHOST,ROCK
DexN°=042; TREVENANT (Form 1); BaseStats=85,140,107,46,90,122; Types=GHOST,GRASS
DexN°=029; M_ROSERADE (Form 1); BaseStats=70,95,83,92,125,150; Types=GRASS,GHOST
DexN°=025; LUPACABRA (Form 1); BaseStats=80,135,135,65,95,80; Types=DARK,FIGHTING
DexN°=026; ZOLUPINE (Form 1); BaseStats=60,95,70,85,135,145; Types=GHOST,WATER
DexN°=014; ROADRAPTOR (Form 1); BaseStats=70,129,72,130,117,69; Types=ELECTRIC,GROUND
DexN°=124; FRIZZARD (Form 1); BaseStats=80,80,80,94,145,121; Types=DRAGON,ICE
DexN°=125; ZARCOIL (Form 1); BaseStats=65,135,89,91,140,80; Types=DRAGON,FIRE
DexN°=011; LAGUNA (Form 1); BaseStats=50,72,55,103,110,130; Types=ICE,FAIRY
DexN°=167; SABLEYE (Form 1); BaseStats=75,75,135,20,75,125; Types=DARK,GHOST
DexN°=168; MAWILE (Form 1); BaseStats=50,105,125,50,55,95; Types=STEEL,FAIRY
DexN°=054; BANETTE (Form 1); BaseStats=74,145,95,65,103,103; Types=GHOST,NORMAL
DexN°=144; GLALIE (Form 1); BaseStats=80,120,80,100,120,80; Types=ICE
DexN°=068; FURFROU (Form 1); BaseStats=77,90,63,102,65,95; Types=FAIRY,NORMAL
DexN°=068; FURFROU (Form 2); BaseStats=77,90,63,102,65,95; Types=ICE,NORMAL
DexN°=068; FURFROU (Form 3); BaseStats=77,90,63,102,65,95; Types=ROCK,NORMAL
DexN°=068; FURFROU (Form 4); BaseStats=77,90,63,102,65,95; Types=ELECTRIC,NORMAL
DexN°=068; FURFROU (Form 5); BaseStats=77,90,63,102,65,95; Types=PSYCHIC,NORMAL
DexN°=068; FURFROU (Form 6); BaseStats=77,90,63,102,65,95; Types=GRASS,NORMAL
DexN°=068; FURFROU (Form 7); BaseStats=77,90,63,102,65,95; Types=WATER,NORMAL
DexN°=068; FURFROU (Form 8); BaseStats=77,90,63,102,65,95; Types=FIGHTING,NORMAL
DexN°=068; FURFROU (Form 9); BaseStats=77,90,63,102,65,95; Types=GHOST,NORMAL
DexN°=091; BEAKRAFT (Form 1); BaseStats=75,120,95,78,50,60; Types=STEEL,FLYING
DexN°=091; BEAKRAFT (Form 2); BaseStats=75,115,150,82,76,80; Types=STEEL,ELECTRIC
DexN°=091; BEAKRAFT (Form 3); BaseStats=75,140,105,82,100,76; Types=STEEL,ELECTRIC
DexN°=104; CROACROZEN (Form 1); BaseStats=94,43,140,29,62,130; Types=POISON,ICE
DexN°=074; STRELAVISON (Form 1); BaseStats=69,69,117,49,69,117; Types=BUG,PSYCHIC,ELECTRIC
DexN°=154; CASTFORM (Form 1); BaseStats=80,80,80,80,80,80; Types=FIRE
DexN°=154; CASTFORM (Form 2); BaseStats=80,80,80,80,80,80; Types=WATER
DexN°=154; CASTFORM (Form 3); BaseStats=80,80,80,80,80,80; Types=ICE
DexN°=154; CASTFORM (Form 4); BaseStats=80,80,80,80,80,80; Types=GROUND
DexN°=138; MAGIKARP (Form 2); BaseStats=20,10,80,50,15,25; Types=WATER,ROCK
DexN°=139; GYARADOS (Form 1); BaseStats=95,155,109,81,70,130; Types=WATER,FLYING,DARK
DexN°=139; GYARADOS (Form 2); BaseStats=85,89,125,60,91,90; Types=WATER,ROCK,DRAGON
DexN°=019; FLOETTE (Form 5); BaseStats=74,65,67,92,125,128; Types=FAIRY
